inception_date,currency,risk_classification,min_initial_participation,remarks,min_additional_participation,min_maintaining_balance,min_holding_period,cutoff_time_for_participationredemption,settlement_date,trust_fee_structure,early_redemption_fee,benchmark,fund_name,classification,navpu,bank,url
"Jul 27, 2018",USD,Moderate,"USD 1,000.00",,USD 200.00,"USD 1,000.00",0 banking days,11:30 AM,T+4,0.50% p.a.,Not Applicable,98% Bloomberg	Barclays EM USD Sovereign; Philippines Total Return Index Unhedged USD + 2% 30-Day US Dollar Deposit Savings Rate,Maybank Tiger Dollar Bond Feeder Fund,Feeder Fund - Fixed Income,0.894736,Maybank Philippines Inc.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=343&bank_id=40
"May 16, 2022",USD,Moderate,"USD 1,000.00",,USD 100.00,"USD 1,000.00",0 calendar days,11:30 AM,T+7,None,None,JP Morgan Asia Credit Index		,Maybank Tiger USD Asian Income Feeder Fund,Feeder Fund - Fixed Income,0.9319,Maybank Philippines Inc.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=445&bank_id=40
"Dec 16, 2022",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.00% as a % p.a. of the NAV,N/A,JACI Investment Grade 1-3 Years Index					,Manulife Asia Short Duration Bond Feeder Fund (USD Class A),Feeder Fund - Fixed Income,0.9955,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=468&bank_id=39
"Mar 28, 2005",PHP,Moderate,"PHP 5,000.00",,"PHP 1,000.00","PHP 5,000.00",0 calendar days,11:00 AM,T+1,0.50% based on NAV,None,BPI Philippine Government Bond Index																			,RCBC PESO FIXED INCOME FUND,Fixed Income Fund - Long Term,2.203498,Rizal Commercial Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=78&bank_id=11
"Jul 1, 2005",PHP,Moderate,"PHP 10,000.00",,"PHP 5,000.00","PHP 5,000.00",0 calendar days,01:30 PM,T+2,1.00% p.a.,N/A,90% Markit iBoxx ALBI Philippines  (Domestic) + 10% O/N Special Savings Account Rate (net of Withholding Tax)								,SB PESO BOND FUND,Fixed Income Fund - Long Term,2.050469,Security Bank Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=82&bank_id=12
"May 17, 2021",PHP,Moderate,"PHP 5,000.00",,"PHP 1,000.00","PHP 5,000.00",30 calendar days,12:00 PM,T+1,1%,25% of net earnings (P500 minimum) ,"Percentage change in the Bloomberg Government Bond
Index AI (All in) or, in its absence, any relevant and
industry-accepted benchmark
								",LANDBANK PERA Bond Fund,Fixed Income Fund - Long Term,1.071059,LandBank of the Philippines,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=419&bank_id=9
"Mar 13, 2006",PHP,Moderate,"PHP 5,000.00",,"PHP 1,000.00","PHP 5,000.00",30 calendar days,12:00 PM,T + 1,1.00%,25% of net earnings (P500 minimum),"Percentage change in the Bloomberg Government Bond Index AI*  (All in) or, in its absence, any relevant and industry-accepted benchmark

*Priced using PDEx�s (Philippine Dealing Exchange Corporation) PDSS-R2
															",LANDBANK Bond Fund,Fixed Income Fund - Long Term,1.866358,LandBank of the Philippines,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=97&bank_id=9
"Sep 22, 2017",PHP,Moderate,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",7 calendar days,12:00 PM,T + 3,0.50% Based on Net Asset Value (NAV),50% of income on redeemed amount,"60% Markit iBoxx ALBI Philippines 1-5, and 40% BPI Philippine Corporate Bond Index

												",Metro Unit Paying Fund,Fixed Income Fund - Long Term,0.952703,Metropolitan Bank & Trust Co.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=307&bank_id=1
"Mar 1, 2007",PHP,Aggressive,"PHP 50,000.00",,"PHP 1,000.00","PHP 50,000.00",180 calendar days,12:00 PM,T+1,1.0% p.a. of the market value of the fund,"PHP 500.00 or 0.25% of the withdrawn amount, whichever is higher","Bloomberg Philippine Sovereign Bond Index AI, Adjusted.			",EastWest Peso Long Term Bond Fund,Fixed Income Fund - Long Term,1579.3337,EastWest Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=176&bank_id=8
"Apr 21, 2006",PHP,Moderately Aggressive,"PHP 1,000.00",,PHP 0.00,"PHP 1,000.00",0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+1 (end of day),0.080% p.a. (Trust Fee payable to HSBC)/ 0.186% p.a. (Management Fee payable to BPI Wealth),None,iBoxx ABF Philippines Index																																																							,ABF PHILIPPINES BOND INDEX FUND,Fixed Income Fund - Long Term,254.41,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=51&bank_id=3
"Mar 10, 2005",PHP,Moderate,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",30 calendar days,11:30 AM,1,1% p.a. based on the Net Asset Value (NAV) accrued daily,5% of the redeemed amount,5-year yield based on PHP BVAL						,DIVERSITY PESO BOND FUND,Fixed Income Fund - Long Term,1.649954,Bank of Commerce,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=46&bank_id=5
"Mar 24, 2006",PHP,Moderate,"PHP 5,000.00",,"PHP 1,000.00","PHP 5,000.00",30 calendar days,12:00 PM,T + 1,0.75% per annum based on the Net Asset Value (NAV) of the Fund before trust fee for the day,1.0% of the amount redeemed,Bloomberg Philippine Sovereign Bond Index 5+ Year (BPHIL5).  															,CHINA BANK FIXED INCOME FUND (formerly CBC GS FUND),Fixed Income Fund - Long Term,1.832061,China Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=142&bank_id=7
"Sep 18, 2017",PHP,Moderate,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+3 Banking Days,0.75% as a % p.a. of the NAV,N/A,"50% Bloomberg Philippine Sovereign Bond Index
1 to 3 Year + 50% 91-day T-Bill rate.																								",Manulife Stable Income Fund (Class A),Fixed Income Fund - Intermediate Term,1.1415,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=311&bank_id=39
"Mar 1, 2016",PHP,Moderate,"PHP 2,000.00","Class I - PHP 10,000 (via any PNB Branch) Class II - PHP 2,000 (via PNB UITF Online)","PHP 2,000.00","PHP 2,000.00",30 calendar days,12:00 PM,T+1,0.75% p.a. of fund value,"50% of income earned, if any","Markit iBoxx ALBI Philippines 1-3

																												",PNB PROFIT PESO BOND FUND (Formerly PNB Peso Intermediate Term Bond Fund),Fixed Income Fund - Intermediate Term,1.588248,Philippine National Bank,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=178&bank_id=2
"Sep 18, 2017",PHP,Moderate,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+3 Banking Days,N/A,N/A,50% Bloomberg Philippine Sovereign Bond Index 1 to 3 Year + 50% 91-day T-Bill rate. 				,Manulife Stable Income Fund (Class I),Fixed Income Fund - Intermediate Term,1.2172,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=312&bank_id=39
"Feb 18, 2005",PHP,Moderate,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",30 calendar days,12:00 PM,T+1,1% p.a. of the market value of the fund,"PHP 500.00 or 0.25% of the withdrawn amount, whichever is higher","Bloomberg Philippine Sovereign Bond Index 1-3 Year, Adjusted.",EastWest Peso Intermediate Term Bond Fund,Fixed Income Fund - Intermediate Term,2165.9883,EastWest Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=175&bank_id=8
"May 22, 2014",PHP,Moderate,"PHP 5,000.00",,"PHP 1,000.00","PHP 5,000.00",30 calendar days,12:00 PM,T + 1,0.50% per annum based on the Net Asset Value (NAV) of the Fund before trust fee for the day,1.0% of the amount redeemed,Bloomberg Phil Sovereign Bond Index 1 to 3 Year (BPHIL13)															,CHINA BANK INTERMEDIATE FIXED,Fixed Income Fund - Intermediate Term,1.247137,China Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=229&bank_id=7
"Apr 4, 2005",PHP,Moderately Conservative,"PHP 1,000.00",,PHP 0.00,"PHP 1,000.00",0 calendar days,02:00 PM,Subscription: T+0; Redemption: T+0 (end of day),1.50% p.a.,None,BPI Philippine Government Bond 1-3 Year Index				,BPI PREMIUM BOND FUND,Fixed Income Fund - Intermediate Term,201.1,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=49&bank_id=3
"Apr 8, 2005",PHP,Moderate,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",7 calendar days,12:00 PM,T + 1,0.75% p.a. based on Net Asset Value (NAV),50% of income on redeemed amount,Markit iBoxx ALBI Philippine 1-3					,Metro Max,Fixed Income Fund - Intermediate Term,2.162592,Metropolitan Bank & Trust Co.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=38&bank_id=1
"May 5, 2003",PHP,Aggressive,"PHP 10,000.00",,"PHP 5,000.00","PHP 10,000.00",0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+1 (end of day),1.00% p.a.,None,BPI Philippine Government Bond Index				,ODYSSEY PESO BOND FUND,Fixed Income Fund - Long Term,315.95,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=60&bank_id=3
"Jul 2, 2021",USD,Aggressive,"USD 1,000.00",,USD 100.00,"USD 1,000.00",0 calendar days,02:00 PM,T+6 business days,N/A,N/A,50% MSCI World GR (USD) Index and 50% Bloomberg Barclays Global Aggregate Bond (USD Hedged) Index							,Manulife Global Multi,Feeder Fund - Multi-Asset,0.8676,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=421&bank_id=39
"Feb 8, 2021",USD,Aggressive,"USD 1,000.00",,USD 100.00,"USD 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV ,N/A,50% MSCI World GR (USD) Index and 50% Bloomberg Barclays Global Aggregate Bond (USD Hedged) Index																		,Manulife Global Multi,Feeder Fund - Multi-Asset,0.8841,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=402&bank_id=39
"Jul 28, 2014",USD,Aggressive,USD 100.00,,USD 50.00,USD 100.00,0 banking days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% p.a.,none,36% MSCI USA 500 Index; 24% FTSE World (ex-US); 24% Bloomberg U.S. Treasury Bellwethers: 5 Year; 16% FTSE Non-USD World Government Bond Index																		,ATRAM Global Allocation Feeder Fund (USD Unit Class),Feeder Fund - Multi-Asset,1.264117,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=234&bank_id=31
"Feb 14, 2020",USD,Moderately Aggressive,"USD 3,000.00",,USD 50.00,"USD 3,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.15% p.a.,none,"25% MSCI World Index, Net Dividends, USD Hedged, 15% MSCI Emerging Markets, Net Dividends, 40% Bloomberg US Corporate High Yield 2% Issuer Capped Bond Total and 20% Bloomberg EM Hard Currency Aggregate Index											",ATRAM Global Multi,Feeder Fund - Multi-Asset,0.832841,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=383&bank_id=31
"Mar 25, 2019",USD,Aggressive,"USD 1,000.00",,USD 100.00,"USD 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,50% BoFA Merrill Lynch Fixed Rate Preferred Securities Index + 50% BoFA Merrill Lynch US Capital Securities Index													,Manulife Global Preferred Income Feeder Fund (USD Class A),Feeder Fund - Multi-Asset,0.8412,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=358&bank_id=39
"Aug 27, 2015",PHP,Aggressive,"PHP 1,000.00",,PHP 500.00,"PHP 1,000.00",0 calendar days,12:00 PM,T + 3,None,None,60% Philippine Stock Exchange Index (PSEi) and 40%  Markit iBoxx ALBI Philippines 1-5												,Metro Aspire Balanced Feeder Fund,Feeder Fund - Multi-Asset,0.958485,Metropolitan Bank & Trust Co.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=268&bank_id=1
"May 23, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,N/A,N/A,50% MSCI World GR (USD) Index and 50% Bloomberg Barclays Global Aggregate Bond (USD Hedged) Index									,Manulife Global Multi,Feeder Fund - Multi-Asset,53.8727,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=447&bank_id=39
"Jul 12, 2022",PHP,Aggressive,"PHP 1,000.00",,PHP 50.00,"PHP 1,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% per annum,none,50% MSCI AC Asia Pacific ex Japan Index and 50% Bloomberg EM Asia Index				,ATRAM Asian Multi,Feeder Fund - Multi-Asset,87.841734,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=450&bank_id=31
"Oct 27, 2021",PHP,Aggressive,"PHP 1,000.00",,PHP 500.00,PHP 0.00,0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% p.a.,none,36% MSCI USA 500 Index; 24% FTSE World (ex-US); 24% Bloomberg U.S. Treasury Bellwethers: 5 Year; 16% FTSE Non-USD World Government Bond Index																,ATRAM Global Allocation Feeder Fund (PHP Unit Class),Feeder Fund - Multi-Asset,89.943518,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=433&bank_id=31
"Feb 8, 2021",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV ,N/A,50% MSCI World GR (USD) Index and 50% Bloomberg Barclays Global Aggregate Bond (USD Hedged) Index																						,Manulife Global Multi,Feeder Fund - Multi-Asset,49.3399,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=403&bank_id=39
"Oct 15, 2019",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,N/A,N/A,50% BoFA Merrill Lynch Fixed Rate Preferred Securities Index + 50% BoFA Merrill Lynch US Capital Securities Index 												,Manulife Global Preferred Income Feeder Fund (PHP Unhedged Class I),Feeder Fund - Multi-Asset,46.6203,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=369&bank_id=39
